wkn,name,instrument_id
A12C16,X(IE)-MSCIJAESGSC 3CEOH,178365
A12CCJ,INVESCOMI NASDAQ BIOTECH,1045658
A12CCL,VE GOLD MINERS UCITSETF A,91809
A12CCM,VE JR GOLD MIN.UCITSETF A,91806
A12CCN,VANECK MST US MOAT UC.ETF,212052
A12CX0,VANGUARD FTSE 250UETF LSD,514841
A12CX1,VANG FTSE DEVELOPED WORLD UCITS,514859
A12CXY,VANG.FTSE N.AME.U.ETF DLD,480975
A12CXZ,VANG FTSE DEVELOPED EUROPE EX UK UCITS,514835
A12CZS,SPDR REF.GBL CONV.BD D,178551
A12DB1,L+G-L+G R.GBL ROB.AUTOM.,1131897
A12DPM,ISHARES MSCI EUROPE QUALITY,154140
A12DPN,ISHARES MSCI EUROPE MOMENTUM,154146
A12DPP,ISHARES MSCI EUROPE VALUE,154143
A12DPQ,ISHARES MSCI EUROPE SIZE,154137
A12DPT,ISHSIV-MSCI CHINA A DL A,73817
A12DPU,ISHSIII-MSCI T.UK RE LSD,262375
A12DYR,I.M.-I.S+P 500 UETF AEOH,178674
A12DYT,SPDR Barlys 3-5 Yr. Euro Gov. Bd,178458
A12EAR,SPDR MORNINGST.MA.G.I.UE,178689
A12FF3,FIRST T.G.-EUROZ.A.D.AAEO,532054
A12GMT,X(IE)-MSCIJAESGSC 4CDLH,1415918
A12GVR,X(IE)-MSCI EM.MKTS 1CDL,530431
